,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-1172875,Mn2O3,"{'Mn': 2.0, 'O': 3.0}",Pbca,-2.031,0.001,0.071,FALSE,891.943,80,FALSE,,4.703,orthorhombic
mp-554573,SiO2,"{'Si': 1.0, 'O': 2.0}",Ama2,-3.288,0.001,5.615,FALSE,189.232,12,TRUE,,2.109,orthorhombic
mp-19921,PbO,"{'Pb': 1.0, 'O': 1.0}",P4/nmm,-1.489,0.001,1.525,TRUE,86.401,4,FALSE,,8.579,tetragonal
mp-715923,WO3,"{'W': 1.0, 'O': 3.0}",Pmma,-2.188,0.001,1.139,FALSE,230.442,16,TRUE,,6.682,orthorhombic
mp-19390,WO3,"{'W': 1.0, 'O': 3.0}",Pm3m,-2.188,0.002,1.127,FALSE,115.267,8,FALSE,,6.68,cubic
mp-1819,SbO2,"{'Sb': 1.0, 'O': 2.0}",C2/c,-1.857,0.002,2.022,TRUE,160.883,12,FALSE,,6.348,monoclinic
mp-1077107,HgO,"{'Hg': 1.0, 'O': 1.0}",P3221,-0.648,0.002,1.243,FALSE,108.221,6,FALSE,,9.97,trigonal
mp-560098,SbO2,"{'Sb': 1.0, 'O': 2.0}",Pnna,-1.857,0.002,1.905,FALSE,327.625,24,FALSE,,6.235,orthorhombic
mp-547094,RuO4,"{'Ru': 1.0, 'O': 4.0}",C2/c,-1.207,0.002,2.383,FALSE,183.74,10,FALSE,,2.984,monoclinic
mp-27127,Te4O9,"{'Te': 4.0, 'O': 9.0}",R3,-1.471,0.002,2.238,TRUE,394.921,26,TRUE,,5.503,trigonal
mp-560362,W8O21,"{'W': 8.0, 'O': 21.0}",Pbam,-2.14,0.002,0,FALSE,1558.968,116,FALSE,,7.698,orthorhombic
mp-19033,WO3,"{'W': 1.0, 'O': 3.0}",P21/c,-2.187,0.002,1.672,FALSE,222.629,16,FALSE,,6.917,monoclinic
mp-27356,AsO2,"{'As': 1.0, 'O': 2.0}",Pnma,-1.609,0.002,3.36,TRUE,359.222,24,FALSE,,3.954,orthorhombic
mp-684594,Ce16O27,"{'Ce': 16.0, 'O': 27.0}",P1,-3.912,0.002,0,FALSE,1362.031,86,TRUE,,6.52,triclinic
mp-550172,SnO2,"{'Sn': 1.0, 'O': 2.0}",Pnnm,-2.127,0.002,0.806,FALSE,75.517,6,FALSE,,6.628,orthorhombic
mp-706490,Mo9O26,"{'Mo': 9.0, 'O': 26.0}",C2/c,-2.04,0.002,0.643,FALSE,2090.4,140,FALSE,,4.065,monoclinic
mp-1172828,WO3,"{'W': 1.0, 'O': 3.0}",Pbcn,-2.187,0.002,1.465,FALSE,453.492,32,FALSE,,6.791,orthorhombic
mp-642328,U13O34,"{'U': 13.0, 'O': 34.0}",Amm2,-3.726,0.002,0,FALSE,731.598,47,FALSE,,8.258,orthorhombic
mp-553964,WO3,"{'W': 1.0, 'O': 3.0}",Pbcm,-2.187,0.002,1.337,FALSE,462.889,32,FALSE,,6.653,orthorhombic
mvc-15643,WO3,"{'W': 1.0, 'O': 3.0}",P212121,-2.186,0.003,1.897,FALSE,223.113,16,TRUE,,6.902,orthorhombic
mp-698,U3O8,"{'U': 3.0, 'O': 8.0}",Cmmm,-3.723,0.003,0,FALSE,169.342,11,FALSE,,8.257,orthorhombic
mp-190,ReO3,"{'Re': 1.0, 'O': 3.0}",Pm3m,-2.157,0.003,0,TRUE,54.578,4,FALSE,,7.126,cubic
mp-7228,ReO2,"{'Re': 1.0, 'O': 2.0}",Pbcn,-1.917,0.003,0,TRUE,128.949,12,FALSE,,11.24,orthorhombic
mp-776922,Rb2O,"{'Rb': 2.0, 'O': 1.0}",P3,-1.118,0.003,0.193,TRUE,312.816,9,TRUE,,2.977,trigonal
mp-559906,U3O8,"{'U': 3.0, 'O': 8.0}",Cmcm,-3.722,0.003,0.067,FALSE,675.833,44,FALSE,,8.276,orthorhombic
mp-715584,MoO3,"{'Mo': 1.0, 'O': 3.0}",Pc,-2.026,0.003,1.851,FALSE,225.639,16,TRUE,,4.237,monoclinic
mp-684627,Ce13O24,"{'Ce': 13.0, 'O': 24.0}",P1,-3.957,0.003,0,FALSE,543.124,37,TRUE,,6.743,triclinic
mp-562001,Cs11O3,"{'Cs': 11.0, 'O': 3.0}",P21/c,-0.8,0.003,0,TRUE,3991.751,56,FALSE,,2.513,monoclinic
mp-1066856,AgO,"{'Ag': 1.0, 'O': 1.0}",C2/c,-0.457,0.003,0,FALSE,60.462,4,FALSE,,6.804,monoclinic
mp-7029,SiO2,"{'Si': 1.0, 'O': 2.0}",P43212,-3.286,0.003,5.509,FALSE,183.245,12,TRUE,,2.178,tetragonal
mp-1394,Rb2O,"{'Rb': 2.0, 'O': 1.0}",Fm3m,-1.117,0.003,1.324,TRUE,81.315,3,FALSE,,3.817,cubic
mp-733790,SiO2,"{'Si': 1.0, 'O': 2.0}",P1,-3.286,0.003,5.587,TRUE,1110.077,72,FALSE,,2.157,triclinic
mp-640556,SiO2,"{'Si': 1.0, 'O': 2.0}",Cc,-3.286,0.003,5.571,FALSE,1107.284,72,FALSE,,2.163,monoclinic
mp-555235,SiO2,"{'Si': 1.0, 'O': 2.0}",Cc,-3.286,0.003,5.503,FALSE,192.255,12,FALSE,,2.076,monoclinic
mp-554089,SiO2,"{'Si': 1.0, 'O': 2.0}",Pna21,-3.286,0.003,5.66,TRUE,181.164,12,TRUE,,2.203,orthorhombic
mp-470,GeO2,"{'Ge': 1.0, 'O': 2.0}",P42/mnm,-2.095,0.004,1.231,TRUE,58.496,6,FALSE,,5.941,tetragonal
mp-561397,SO3,"{'S': 1.0, 'O': 3.0}",P21/c,-1.762,0.004,5.142,TRUE,247.977,16,FALSE,,2.145,monoclinic
mp-985590,SiO2,"{'Si': 1.0, 'O': 2.0}",Pnnm,-3.285,0.004,5.516,TRUE,389.024,24,TRUE,,2.052,orthorhombic
mp-27701,Mo9O26,"{'Mo': 9.0, 'O': 26.0}",P2/c,-2.038,0.004,0.661,FALSE,1052.715,70,FALSE,,4.036,monoclinic
mp-559091,SiO2,"{'Si': 1.0, 'O': 2.0}",P6322,-3.285,0.004,5.441,FALSE,195.323,12,FALSE,,2.043,hexagonal
mp-1017,Zr3O,"{'Zr': 3.0, 'O': 1.0}",P6322,-1.549,0.004,0,TRUE,145.624,8,FALSE,,6.606,hexagonal
mp-32662,WO3,"{'W': 1.0, 'O': 3.0}",P63cm,-2.185,0.004,1.469,TRUE,377.632,24,TRUE,,6.117,hexagonal
mp-1203069,WO3,"{'W': 1.0, 'O': 3.0}",P21/c,-2.185,0.004,1.621,FALSE,445.305,32,FALSE,,6.916,monoclinic
mp-1197857,WO3,"{'W': 1.0, 'O': 3.0}",P1,-2.185,0.004,1.669,FALSE,445.161,32,FALSE,,6.918,triclinic
mp-755021,ReO3,"{'Re': 1.0, 'O': 3.0}",R3c,-2.155,0.005,0,TRUE,108.762,8,TRUE,,7.151,trigonal
mp-1202223,WO3,"{'W': 1.0, 'O': 3.0}",P421m,-2.185,0.005,1.489,FALSE,591.545,40,FALSE,,6.508,tetragonal
mp-542814,SiO2,"{'Si': 1.0, 'O': 2.0}",P212121,-3.285,0.005,5.511,TRUE,1158.205,72,FALSE,,2.067,orthorhombic
mp-1237229,ReO3,"{'Re': 1.0, 'O': 3.0}",Im3,-2.155,0.005,0,FALSE,215.265,16,FALSE,,7.227,cubic
mp-32777,WO3,"{'W': 1.0, 'O': 3.0}",P63/mcm,-2.184,0.005,1.286,FALSE,377.314,24,TRUE,,6.122,hexagonal
mp-510604,Mn2O3,"{'Mn': 2.0, 'O': 3.0}",Ia3,-2.027,0.005,0,FALSE,444.496,40,FALSE,,4.718,cubic
mp-19094,VO2,"{'V': 1.0, 'O': 2.0}",P42/mnm,-2.486,0.005,0.885,TRUE,61.848,6,FALSE,,4.454,tetragonal
mp-8059,SiO2,"{'Si': 1.0, 'O': 2.0}",P213,-3.284,0.005,5.589,TRUE,379.489,24,FALSE,,2.103,cubic
mp-1235796,LiO8,"{'Li': 1.0, 'O': 8.0}",C2,-0.419,0.005,0,FALSE,100.565,9,TRUE,,2.228,monoclinic
mp-704645,CuO,"{'Cu': 1.0, 'O': 1.0}",C2/c,-0.95,0.005,0,FALSE,43.909,4,FALSE,,6.016,monoclinic
mp-634859,CaO2,"{'Ca': 1.0, 'O': 2.0}",I4/mmm,-2.212,0.005,2.733,TRUE,37.986,3,FALSE,,3.151,tetragonal
mp-556961,SiO2,"{'Si': 1.0, 'O': 2.0}",P212121,-3.284,0.005,5.48,FALSE,391.659,24,FALSE,,2.038,orthorhombic
mp-705411,WO3,"{'W': 1.0, 'O': 3.0}",P63cm,-2.184,0.005,1.433,TRUE,377.181,24,TRUE,,6.124,hexagonal
mp-2173,P2O5,"{'P': 2.0, 'O': 5.0}",Pnma,-2.456,0.005,4.837,TRUE,352.181,28,FALSE,,2.677,orthorhombic
mvc-5096,WO3,"{'W': 1.0, 'O': 3.0}",Pnma,-2.184,0.005,1.675,TRUE,220.884,16,TRUE,,6.972,orthorhombic
mp-756478,WO3,"{'W': 1.0, 'O': 3.0}",Im3,-2.184,0.005,1.399,TRUE,220.878,16,TRUE,,6.972,cubic
mp-557264,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmc21,-3.284,0.005,5.433,TRUE,792.761,48,TRUE,,2.014,orthorhombic
mp-20741,ReO3,"{'Re': 1.0, 'O': 3.0}",Im3,-2.154,0.005,0,FALSE,217.839,16,FALSE,,7.141,cubic
mp-545665,WO3,"{'W': 1.0, 'O': 3.0}",P6/mmm,-2.184,0.006,1.147,FALSE,377.579,24,FALSE,,6.118,hexagonal
mp-1189857,MnO2,"{'Mn': 1.0, 'O': 2.0}",P42/m,-1.808,0.006,1.015,FALSE,269.068,18,FALSE,,3.219,tetragonal
mp-7868,PtO2,"{'Pt': 1.0, 'O': 2.0}",P63mc,-0.939,0.006,1.52,TRUE,81.809,6,FALSE,,9.219,hexagonal
mp-554151,SiO2,"{'Si': 1.0, 'O': 2.0}",I4,-3.284,0.006,5.717,TRUE,193.642,12,TRUE,,2.061,tetragonal
mp-1258196,SiO2,"{'Si': 1.0, 'O': 2.0}",P2,-3.284,0.006,5.653,FALSE,1905.006,102,TRUE,,1.781,monoclinic
mp-1191364,WO3,"{'W': 1.0, 'O': 3.0}",P63/mcm,-2.183,0.006,1.259,FALSE,376.169,24,TRUE,,6.14,hexagonal
mp-12205,Ti4O7,"{'Ti': 4.0, 'O': 7.0}",P1,-3.43,0.006,0,TRUE,475.452,44,FALSE,,4.239,triclinic
mp-617,PtO2,"{'Pt': 1.0, 'O': 2.0}",P3m1,-0.939,0.006,1.487,TRUE,40.992,3,FALSE,,9.199,trigonal
mp-560402,U3O8,"{'U': 3.0, 'O': 8.0}",Cmcm,-3.719,0.006,0.069,FALSE,341.036,22,FALSE,,8.2,orthorhombic
mp-557837,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/c,-3.283,0.006,5.767,FALSE,179.503,12,TRUE,,2.223,monoclinic
mp-390,TiO2,"{'Ti': 1.0, 'O': 2.0}",I41/amd,-3.517,0.006,2.062,TRUE,70.437,6,FALSE,,3.766,tetragonal
mp-6945,SiO2,"{'Si': 1.0, 'O': 2.0}",P41212,-3.283,0.006,5.548,TRUE,175.686,12,FALSE,,2.272,tetragonal
mp-557812,Ti3O,"{'Ti': 3.0, 'O': 1.0}",P312,-1.571,0.006,0,TRUE,328.904,24,FALSE,,4.835,trigonal
mp-1194715,As2O3,"{'As': 2.0, 'O': 3.0}",P21/c,-1.643,0.006,3.474,FALSE,736.121,40,FALSE,,3.57,monoclinic
mp-1582,As2O3,"{'As': 2.0, 'O': 3.0}",P21/c,-1.643,0.007,3.955,TRUE,363.328,20,FALSE,,3.617,monoclinic
mp-547074,VO2,"{'V': 1.0, 'O': 2.0}",Pnnm,-2.484,0.007,0.872,FALSE,62.067,6,FALSE,,4.438,orthorhombic
mp-1205345,Sb2O3,"{'Sb': 2.0, 'O': 3.0}",P21/c,-1.764,0.007,2.546,FALSE,373.856,20,TRUE,,5.179,monoclinic
mp-19128,CoO,"{'Co': 1.0, 'O': 1.0}",P63mc,-1.327,0.007,0.712,TRUE,48.74,4,FALSE,,5.106,hexagonal
mp-1102412,CrO2,"{'Cr': 1.0, 'O': 2.0}",Pbcn,-2.032,0.007,0,FALSE,118.886,12,TRUE,,4.693,orthorhombic
mp-754670,V2O5,"{'V': 2.0, 'O': 5.0}",Pmmn,-2.299,0.007,2.411,TRUE,262.519,14,FALSE,,2.301,orthorhombic
mp-25280,V2O5,"{'V': 2.0, 'O': 5.0}",Pnma,-2.299,0.007,2.343,TRUE,405.711,28,TRUE,,2.978,orthorhombic
mp-1986,ZnO,"{'Zn': 1.0, 'O': 1.0}",F43m,-1.794,0.007,0.631,TRUE,24.818,2,FALSE,,5.447,cubic
mp-753629,Zr2O,"{'Zr': 2.0, 'O': 1.0}",P312,-2.004,0.007,0,TRUE,294.378,18,TRUE,,6.716,trigonal
mp-558247,Mo4O11,"{'Mo': 4.0, 'O': 11.0}",P21/c,-2.048,0.007,0.19,FALSE,971.08,60,FALSE,,3.829,monoclinic
mp-1778,BeO,"{'Be': 1.0, 'O': 1.0}",F43m,-3.118,0.007,6.851,TRUE,13.981,2,TRUE,,2.971,cubic
mp-559964,Ti6O11,"{'Ti': 6.0, 'O': 11.0}",C2/m,-3.46,0.007,0,TRUE,398.528,34,FALSE,,3.86,monoclinic
mp-285,Mo17O47,"{'Mo': 17.0, 'O': 47.0}",Pba2,-2.047,0.007,0,FALSE,1785.46,128,FALSE,,4.432,orthorhombic
mp-13119,CdO,"{'Cd': 1.0, 'O': 1.0}",P63mc,-1.379,0.007,0.008,TRUE,68.474,4,TRUE,,6.228,hexagonal
mp-20078,Pb2O3,"{'Pb': 2.0, 'O': 3.0}",P21/c,-1.417,0.007,1.031,TRUE,325.889,20,FALSE,,9.424,monoclinic
mp-1190699,CO2,"{'C': 1.0, 'O': 2.0}",R3c,-1.78,0.007,6.507,FALSE,381.957,24,FALSE,,1.531,trigonal
mp-649605,W25O73,"{'W': 25.0, 'O': 73.0}",P2/c,-2.172,0.007,0,FALSE,2839.331,196,FALSE,,6.742,monoclinic
mp-16964,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmc21,-3.282,0.008,5.678,TRUE,636.793,36,FALSE,,1.88,orthorhombic
mp-555891,SiO2,"{'Si': 1.0, 'O': 2.0}",P21,-3.282,0.008,5.387,FALSE,200.423,12,FALSE,,1.991,monoclinic
mp-1188220,SiO2,"{'Si': 1.0, 'O': 2.0}",I43m,-3.282,0.008,5.449,FALSE,363.478,18,FALSE,,1.647,cubic
mp-10390,Ta2O5,"{'Ta': 2.0, 'O': 5.0}",C2/c,-3.352,0.008,1.232,TRUE,174.021,14,FALSE,,8.433,monoclinic
mp-556654,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/c,-3.282,0.008,5.606,TRUE,1216.002,72,FALSE,,1.969,monoclinic
mp-541846,P4O9,"{'P': 4.0, 'O': 9.0}",R3c,-2.378,0.008,5.569,TRUE,766.487,52,FALSE,,2.321,trigonal
mp-651707,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/c,-3.281,0.008,5.696,TRUE,1512.631,84,FALSE,,1.847,monoclinic
mp-27732,W10O29,"{'W': 10.0, 'O': 29.0}",P2/m,-2.17,0.008,0,FALSE,1131.328,78,FALSE,,6.759,monoclinic
mp-557933,SiO2,"{'Si': 1.0, 'O': 2.0}",Imma,-3.281,0.008,5.525,TRUE,1274.128,72,FALSE,,1.879,orthorhombic
mp-30544,Mo5O14,"{'Mo': 5.0, 'O': 14.0}",P21/c,-2.043,0.008,0,FALSE,1202.779,76,FALSE,,3.886,monoclinic
mp-556218,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmc21,-3.281,0.008,5.891,FALSE,648.401,36,FALSE,,1.846,orthorhombic
mp-559550,SiO2,"{'Si': 1.0, 'O': 2.0}",R3,-3.281,0.008,5.599,TRUE,328.266,18,FALSE,,1.824,trigonal
mp-556454,SiO2,"{'Si': 1.0, 'O': 2.0}",C222,-3.281,0.008,5.565,TRUE,896.623,48,FALSE,,1.78,orthorhombic
mp-748,Ti5O9,"{'Ti': 5.0, 'O': 9.0}",P1,-3.446,0.008,0,TRUE,302.465,28,FALSE,,4.209,triclinic
mp-1250639,SiO2,"{'Si': 1.0, 'O': 2.0}",R3,-3.281,0.008,5.668,FALSE,6978.669,360,TRUE,,1.716,trigonal
mp-1235877,LiO8,"{'Li': 1.0, 'O': 8.0}",C2/m,-0.415,0.008,0,FALSE,98.461,9,TRUE,,2.276,monoclinic
mp-600033,SiO2,"{'Si': 1.0, 'O': 2.0}",Im3m,-3.281,0.008,5.429,FALSE,730.507,36,TRUE,,1.639,cubic
mp-28777,Mo9O25,"{'Mo': 9.0, 'O': 25.0}",P2/c,-2.045,0.008,0,FALSE,1086.841,68,FALSE,,3.861,monoclinic
mp-18280,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.281,0.008,5.661,FALSE,721.773,36,FALSE,,1.659,monoclinic
mp-558115,SiO2,"{'Si': 1.0, 'O': 2.0}",R3,-3.281,0.008,5.622,TRUE,2347.134,120,FALSE,,1.7,trigonal
mp-8057,Ti3O5,"{'Ti': 3.0, 'O': 5.0}",Cmcm,-3.394,0.008,0,TRUE,189.175,16,FALSE,,3.925,orthorhombic
mp-1478,Cu4O3,"{'Cu': 4.0, 'O': 3.0}",I41/amd,-0.816,0.008,0,TRUE,171.539,14,FALSE,,5.85,tetragonal
mp-555700,SiO2,"{'Si': 1.0, 'O': 2.0}",I41/amd,-3.281,0.008,5.484,TRUE,883.183,48,TRUE,,1.808,tetragonal
mp-504769,N2O5,"{'N': 2.0, 'O': 5.0}",P63/mmc,-0.734,0.008,0.664,TRUE,178.375,14,FALSE,,2.011,hexagonal
mp-639512,SiO2,"{'Si': 1.0, 'O': 2.0}",Pm3n,-3.281,0.008,5.616,TRUE,2613.725,138,TRUE,,1.756,cubic
mp-760432,Cu2O3,"{'Cu': 2.0, 'O': 3.0}",Fdd2,-0.838,0.009,0.131,TRUE,104.613,10,TRUE,,5.558,orthorhombic
mp-558947,SiO2,"{'Si': 1.0, 'O': 2.0}",P4/nmm,-3.281,0.009,5.649,TRUE,2882.118,144,TRUE,,1.662,tetragonal
mp-755235,V2O5,"{'V': 2.0, 'O': 5.0}",Pnma,-2.297,0.009,2.516,TRUE,511.871,28,TRUE,,2.36,orthorhombic
mp-554258,SiO2,"{'Si': 1.0, 'O': 2.0}",I4/mcm,-3.281,0.009,5.444,TRUE,907.581,48,TRUE,,1.759,tetragonal
mp-1238961,Ta2O5,"{'Ta': 2.0, 'O': 5.0}",P2/m,-3.351,0.009,2.329,FALSE,98.003,7,TRUE,,7.487,monoclinic
mp-600003,SiO2,"{'Si': 1.0, 'O': 2.0}",I4/mmm,-3.28,0.009,5.46,TRUE,912.509,48,TRUE,,1.749,tetragonal
mp-1999,Sb2O3,"{'Sb': 2.0, 'O': 3.0}",Fd3m,-1.762,0.009,3.346,TRUE,379.338,20,FALSE,,5.104,cubic
mp-754585,V2O5,"{'V': 2.0, 'O': 5.0}",Fdd2,-2.297,0.009,2.754,TRUE,282.25,14,TRUE,,2.14,orthorhombic
mp-7648,SiO2,"{'Si': 1.0, 'O': 2.0}",C2221,-3.28,0.009,5.377,FALSE,203.809,12,FALSE,,1.958,orthorhombic
mp-2669,Mo8O23,"{'Mo': 8.0, 'O': 23.0}",P2/c,-2.035,0.009,0.115,FALSE,929.5,62,FALSE,,4.057,monoclinic
mp-559313,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmce,-3.28,0.009,5.366,FALSE,426.174,24,TRUE,,1.873,orthorhombic
mp-555556,SiO2,"{'Si': 1.0, 'O': 2.0}",P42/mbc,-3.28,0.009,5.614,TRUE,831.738,48,TRUE,,1.919,tetragonal
mp-554243,SiO2,"{'Si': 1.0, 'O': 2.0}",P6522,-3.28,0.009,5.623,FALSE,331.033,18,TRUE,,1.808,hexagonal
mp-1200292,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/c,-3.28,0.009,5.708,FALSE,5639.844,288,FALSE,,1.698,monoclinic
mp-559360,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/m,-3.28,0.009,5.664,TRUE,1430.322,72,TRUE,,1.674,monoclinic
mp-715262,FeO,"{'Fe': 1.0, 'O': 1.0}",I4/mmm,-1.673,0.009,0,FALSE,42.78,4,TRUE,,5.577,tetragonal
mp-1179089,SrO2,"{'Sr': 1.0, 'O': 2.0}",Pnma,-2.202,0.009,2.786,FALSE,198.911,12,FALSE,,3.994,orthorhombic
mp-662706,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.28,0.009,5.537,TRUE,1579.001,84,TRUE,,1.769,monoclinic
mp-560708,SiO2,"{'Si': 1.0, 'O': 2.0}",P2/m,-3.28,0.009,5.632,TRUE,1577.865,84,TRUE,,1.771,monoclinic
mp-7048,Al2O3,"{'Al': 2.0, 'O': 3.0}",C2/m,-3.437,0.009,4.457,TRUE,96.475,10,FALSE,,3.51,monoclinic
mp-775757,HfO2,"{'Hf': 1.0, 'O': 2.0}",Pbca,-4.034,0.01,4.017,TRUE,279.234,24,TRUE,,10.014,orthorhombic
mp-2184,As2O3,"{'As': 2.0, 'O': 3.0}",Fd3m,-1.64,0.01,4.008,TRUE,398.766,20,FALSE,,3.295,cubic
mp-555521,SiO2,"{'Si': 1.0, 'O': 2.0}",I41/amd,-3.279,0.01,5.574,TRUE,1879.205,96,FALSE,,1.699,tetragonal
mp-985570,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/c,-3.279,0.01,5.599,TRUE,352.938,24,TRUE,,2.262,monoclinic
mp-1195265,SiO2,"{'Si': 1.0, 'O': 2.0}",Pnma,-3.279,0.01,5.71,FALSE,5688.603,288,FALSE,,1.684,orthorhombic
