,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-561351,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmmn,-3.277,0.012,5.451,TRUE,1331.027,72,FALSE,,1.799,orthorhombic
mp-646895,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/c,-3.277,0.012,5.704,FALSE,1900.514,96,FALSE,,1.68,monoclinic
mp-600031,SiO2,"{'Si': 1.0, 'O': 2.0}",Imma,-3.277,0.012,5.657,FALSE,2135.895,120,TRUE,,1.868,orthorhombic
mp-558351,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.277,0.012,5.513,FALSE,696.597,36,FALSE,,1.719,monoclinic
mp-10851,SiO2,"{'Si': 1.0, 'O': 2.0}",P6422,-3.277,0.013,5.532,FALSE,126.213,9,FALSE,,2.372,hexagonal
mp-600032,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.277,0.013,5.716,TRUE,3261.346,144,TRUE,,1.468,orthorhombic
mp-6922,SiO2,"{'Si': 1.0, 'O': 2.0}",P6222,-3.277,0.013,5.531,TRUE,126.234,9,FALSE,,2.371,hexagonal
mp-560336,SiO2,"{'Si': 1.0, 'O': 2.0}",Imma,-3.277,0.013,5.575,TRUE,1943.832,96,FALSE,,1.642,orthorhombic
mp-556724,Ti7O13,"{'Ti': 7.0, 'O': 13.0}",P1,-3.463,0.013,0,FALSE,432.159,40,FALSE,,4.173,triclinic
mp-759920,Ti5O8,"{'Ti': 5.0, 'O': 8.0}",P1,-3.36,0.013,0,FALSE,419.907,39,TRUE,,4.358,triclinic
mp-561224,TeO2,"{'Te': 1.0, 'O': 2.0}",P212121,-1.501,0.013,2.809,FALSE,188.779,12,FALSE,,5.615,orthorhombic
mp-656852,Ti13O22,"{'Ti': 13.0, 'O': 22.0}",Cmce,-3.401,0.013,0,TRUE,830.183,70,TRUE,,3.897,orthorhombic
mp-600091,SiO2,"{'Si': 1.0, 'O': 2.0}",Imm2,-3.276,0.013,5.697,FALSE,2104.776,108,TRUE,,1.707,orthorhombic
mp-562613,P2O5,"{'P': 2.0, 'O': 5.0}",R3c,-2.449,0.013,5.534,TRUE,444.529,28,FALSE,,2.121,trigonal
mp-680204,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.276,0.013,5.605,TRUE,1129.34,66,FALSE,,1.944,monoclinic
mp-554543,SiO2,"{'Si': 1.0, 'O': 2.0}",I4/mcm,-3.276,0.013,5.44,TRUE,448.192,24,TRUE,,1.781,tetragonal
